y,x,counts
-0.500, -0.500, 36
-0.472, -0.500, 7
-0.444, -0.500, 13
-0.416, -0.500, 18
-0.388, -0.500, 12
-0.359, -0.500, 3
-0.331, -0.500, 2
-0.303, -0.500, 5
-0.275, -0.500, 8
-0.247, -0.500, 9
-0.219, -0.500, 9
-0.191, -0.500, 6
-0.163, -0.500, 10
-0.134, -0.500, 10
-0.106, -0.500, 13
-0.078, -0.500, 13
-0.050, -0.500, 5
-0.022, -0.500, 8
0.006, -0.500, 6
0.034, -0.500, 8
0.062, -0.500, 11
0.091, -0.500, 11
0.119, -0.500, 12
0.147, -0.500, 6
0.175, -0.500, 9
0.203, -0.500, 9
0.231, -0.500, 7
0.259, -0.500, 5
0.287, -0.500, 4
0.316, -0.500, 6
0.344, -0.500, 7
0.372, -0.500, 12
0.400, -0.500, 11
0.428, -0.500, 7
0.456, -0.500, 7
0.484, -0.500, 11
-0.500, -0.472, 21
-0.472, -0.472, 8
-0.444, -0.472, 1
-0.416, -0.472, 8
-0.388, -0.472, 10
-0.359, -0.472, 9
-0.331, -0.472, 9
-0.303, -0.472, 12
-0.275, -0.472, 11
-0.247, -0.472, 5
-0.219, -0.472, 8
-0.191, -0.472, 11
-0.163, -0.472, 10
-0.134, -0.472, 11
-0.106, -0.472, 6
-0.078, -0.472, 11
-0.050, -0.472, 11
-0.022, -0.472, 6
0.006, -0.472, 8
0.034, -0.472, 10
0.062, -0.472, 4
0.091, -0.472, 3
0.119, -0.472, 5
0.147, -0.472, 2
0.175, -0.472, 8
0.203, -0.472, 13
0.231, -0.472, 13
0.259, -0.472, 10
0.287, -0.472, 8
0.316, -0.472, 9
0.344, -0.472, 5
0.372, -0.472, 9
0.400, -0.472, 12
0.428, -0.472, 10
0.456, -0.472, 13
0.484, -0.472, 5
-0.500, -0.444, 4
-0.472, -0.444, 14
-0.444, -0.444, 7
-0.416, -0.444, 14
-0.388, -0.444, 3
-0.359, -0.444, 4
-0.331, -0.444, 7
-0.303, -0.444, 11
-0.275, -0.444, 5
-0.247, -0.444, 14
-0.219, -0.444, 14
-0.191, -0.444, 15
-0.163, -0.444, 5
-0.134, -0.444, 13
-0.106, -0.444, 9
-0.078, -0.444, 7
-0.050, -0.444, 6
-0.022, -0.444, 10
0.006, -0.444, 10
0.034, -0.444, 8
0.062, -0.444, 12
0.091, -0.444, 6
0.119, -0.444, 9
0.147, -0.444, 13
0.175, -0.444, 10
0.203, -0.444, 8
0.231, -0.444, 15
0.259, -0.444, 9
0.287, -0.444, 10
0.316, -0.444, 6
0.344, -0.444, 5
0.372, -0.444, 11
0.400, -0.444, 7
0.428, -0.444, 7
0.456, -0.444, 4
0.484, -0.444, 3
-0.500, -0.416, 18
-0.472, -0.416, 12
-0.444, -0.416, 11
-0.416, -0.416, 2
-0.388, -0.416, 10
-0.359, -0.416, 3
-0.331, -0.416, 5
-0.303, -0.416, 4
-0.275, -0.416, 6
-0.247, -0.416, 7
-0.219, -0.416, 7
-0.191, -0.416, 6
-0.163, -0.416, 16
-0.134, -0.416, 9
-0.106, -0.416, 6
-0.078, -0.416, 10
-0.050, -0.416, 9
