y,x,counts
-0.500, -0.500, 4
-0.472, -0.500, 10
-0.444, -0.500, 11
-0.416, -0.500, 14
-0.388, -0.500, 12
-0.359, -0.500, 7
-0.331, -0.500, 10
-0.303, -0.500, 5
-0.275, -0.500, 9
-0.247, -0.500, 8
-0.219, -0.500, 10
-0.191, -0.500, 8
-0.163, -0.500, 2
-0.134, -0.500, 7
-0.106, -0.500, 7
-0.078, -0.500, 13
-0.050, -0.500, 8
-0.022, -0.500, 14
0.006, -0.500, 7
0.034, -0.500, 10
0.062, -0.500, 6
0.091, -0.500, 5
0.119, -0.500, 6
0.147, -0.500, 8
0.175, -0.500, 9
0.203, -0.500, 5
0.231, -0.500, 4
0.259, -0.500, 7
0.287, -0.500, 4
0.316, -0.500, 12
0.344, -0.500, 7
0.372, -0.500, 13
0.400, -0.500, 11
0.428, -0.500, 6
0.456, -0.500, 7
0.484, -0.500, 13
-0.500, -0.472, 16
-0.472, -0.472, 14
-0.444, -0.472, 14
-0.416, -0.472, 11
-0.388, -0.472, 8
-0.359, -0.472, 8
-0.331, -0.472, 14
-0.303, -0.472, 4
-0.275, -0.472, 11
-0.247, -0.472, 9
-0.219, -0.472, 12
-0.191, -0.472, 7
-0.163, -0.472, 7
-0.134, -0.472, 7
-0.106, -0.472, 7
-0.078, -0.472, 9
-0.050, -0.472, 12
-0.022, -0.472, 11
0.006, -0.472, 11
0.034, -0.472, 8
0.062, -0.472, 13
0.091, -0.472, 4
0.119, -0.472, 10
0.147, -0.472, 7
0.175, -0.472, 9
0.203, -0.472, 7
0.231, -0.472, 10
0.259, -0.472, 7
0.287, -0.472, 8
0.316, -0.472, 12
0.344, -0.472, 12
0.372, -0.472, 4
0.400, -0.472, 7
0.428, -0.472, 12
0.456, -0.472, 9
0.484, -0.472, 5
-0.500, -0.444, 15
-0.472, -0.444, 5
-0.444, -0.444, 16
-0.416, -0.444, 5
-0.388, -0.444, 10
-0.359, -0.444, 4
-0.331, -0.444, 10
-0.303, -0.444, 9
-0.275, -0.444, 14
-0.247, -0.444, 10
-0.219, -0.444, 10
-0.191, -0.444, 8
-0.163, -0.444, 5
-0.134, -0.444, 4
-0.106, -0.444, 8
-0.078, -0.444, 5
-0.050, -0.444, 9
-0.022, -0.444, 5
0.006, -0.444, 8
0.034, -0.444, 3
0.062, -0.444, 8
0.091, -0.444, 12
0.119, -0.444, 6
0.147, -0.444, 2
0.175, -0.444, 11
0.203, -0.444, 7
0.231, -0.444, 11
0.259, -0.444, 9
0.287, -0.444, 8
0.316, -0.444, 11
0.344, -0.444, 8
0.372, -0.444, 11
0.400, -0.444, 12
0.428, -0.444, 13
0.456, -0.444, 7
0.484, -0.444, 7
-0.500, -0.416, 14
-0.472, -0.416, 9
-0.444, -0.416, 15
-0.416, -0.416, 12
-0.388, -0.416, 12
-0.359, -0.416, 10
-0.331, -0.416, 6
-0.303, -0.416, 9
-0.275, -0.416, 8
-0.247, -0.416, 10
-0.219, -0.416, 7
-0.191, -0.416, 12
-0.163, -0.416, 7
-0.134, -0.416, 9
-0.106, -0.416, 9
-0.078, -0.416, 9
-0.050, -0.416, 5
-0.022, -0.416, 12
0.006, -0.416, 15
0.034, -0.416, 11
0.062, -0.416, 8
0.091, -0.416, 7
0.119, -0.416, 12
0.147, -0.416, 9
0.175, -0.416, 6
0.203, -0.416, 5
0.231, -0.416, 7
0.259, -0.416, 4
0.287, -0.416, 6
0.316, -0.416, 9
0.344, -0.416, 2
0.372, -0.416, 5
0.400, -0.416, 14
0.428, -0.416, 9
0.456, -0.416, 4
0.484, -0.416, 10
-0.500, -0.388, 16
-0.472, -0.388, 14
-0.444, -0.388, 8
-0.416, -0.388, 17
-0.388, -0.388, 4
-0.359, -0.388, 4
-0.331, -0.388, 3
-0.303, -0.388, 9
-0.275, -0.388, 10
-0.247, -0.388, 5
-0.219, -0.388, 8
-0.191, -0.388, 8
-0.163, -0.388, 4
-0.134, -0.388, 8
-0.106, -0.388, 10
-0.078, -0.388, 5
-0.050, -0.388, 10
-0.022, -0.388, 14
0.006, -0.388, 5
0.034, -0.388, 7
0.062, -0.388, 8
0.091, -0.388, 11
0.119, -0.388, 6
0.147, -0.388, 12
0.175, -0.388, 7
0.203, -0.388, 6
0.231, -0.388, 2
0.259, -0.388, 11
0.287, -0.388, 13
0.316, -0.388, 7
0.344, -0.388, 7
0.372, -0.388, 12
0.400, -0.388, 11
0.428, -0.388, 8
0.456, -0.388, 5
0.484, -0.388, 2
-0.500, -0.359, 24
-0.472, -0.359, 15
-0.444, -0.359, 11
-0.416, -0.359, 17
-0.388, -0.359, 8
-0.359, -0.359, 7
-0.331, -0.359, 12
-0.303, -0.359, 9
-0.275, -0.359, 6
-0.247, -0.359, 7
-0.219, -0.359, 11
-0.191, -0.359, 17
-0.163, -0.359, 8
-0.134, -0.359, 5
-0.106, -0.359, 5
-0.078, -0.359, 9
-0.050, -0.359, 7
-0.022, -0.359, 13
0.006, -0.359, 13
0.034, -0.359, 9
0.062, -0.359, 9
0.091, -0.359, 13
0.119, -0.359, 4
0.147, -0.359, 10
0.175, -0.359, 7
0.203, -0.359, 10
0.231, -0.359, 5
0.259, -0.359, 8
0.287, -0.359, 11
0.316, -0.359, 13
0.344, -0.359, 6
0.372, -0.359, 13
0.400, -0.359, 11
0.428, -0.359, 10
0.456, -0.359, 13
0.484, -0.359, 10
-0.500, -0.331, 41
-0.472, -0.331, 62
-0.444, -0.331, 15
-0.416, -0.331, 13
-0.388, -0.331, 9
-0.359, -0.331, 4
-0.331, -0.331, 12
-0.303, -0.331, 8
-0.275, -0.331, 9
-0.247, -0.331, 6
-0.219, -0.331, 6
-0.191, -0.331, 8
-0.163, -0.331, 8
-0.134, -0.331, 7
-0.106, -0.331, 9
-0.078, -0.331, 7
-0.050, -0.331, 11
-0.022, -0.331, 8
0.006, -0.331, 9
0.034, -0.331, 9
0.062, -0.331, 10
0.091, -0.331, 9
0.119, -0.331, 12
0.147, -0.331, 6
0.175, -0.331, 7
0.203, -0.331, 7
0.231, -0.331, 11
0.259, -0.331, 6
0.287, -0.331, 7
0.316, -0.331, 6
0.344, -0.331, 6
0.372, -0.331, 5
0.400, -0.331, 12
0.428, -0.331, 8
